id,name,app_track,ahd_track,type,ahd_loc,ahd_seg,direction
"328",CP-328,,,,,,
"329",CP-329,,,,,,
"330",CP-330,,,,,,
"331",CP-331,,,,,,
"332",CP-332,,,,,,
"333",CP-333,,,,,,
"334",CP-334,,,,,,
"335",CP-335,,,,,,
"336",CP-336,,,,,,
"337",CP-337,,,,,,
"338",CP-338,,,,,,
"339",CP-339,,,,,,
"340",CP-340,,,,,,
"341",CP-341,,,,,,
"342",CP-342,,,,,,
"343",CP-343,,,,,,
"344",CP-344,,,,,,
"345",CP-345,,,,,,
"346",CP-346,,,,,,
"347",CP-347,,,,,,
"348",CP-348,,,,,,
"349",CP-349,,,,,,
"350",CP-350,,,,,,
"351",CP-351,,,,,,
"352",CP-352,,,,,,
"353",CP-353,,,,,,
"354",CP-354,,,,,,
"355",CP-355,,,,,,
"356",CP-356,,,,,,
"357",CP-357,,,,,,
"358",CP-358,,,,,,
"359",CP-359,,,,,,
"360",CP-360,,,,,,
"361",CP-361,,,,,,
"362",CP-362,,,,,,
"363",CP-363,,,,,,
"364",CP-364,,,,,,
"365",CP-365,,,,,,
"366",CP-366,,,,,,
"367",CP-367,,,,,,
"368",CP-368,,,,,,
"369",CP-369,,,,,,
"370",CP-370,,,,,,
"371",CP-371,,,,,,
"372",CP-372,,,,,,
"373",CP-373,,,,,,
"374",CP-374,,,,,,
"375",CP-375,,,,,,
"376",CP-376,CCT_3,MID_5,,,,
"377",CP-377,,,,,,
"378",CP-378,,,,,,
"379",CP-379,,,,,,
"380",CP-380,,,,,,
"381",CP-381,,,,,,
"382",CP-382,,,,,,
"383",CP-383,,,,,,
"384",CP-384,,,,,,
"385",CP-385,,,,,,
"386",CP-386,,,,,,
"387",CP-387,,,,,,
"388",CP-388,,,,,,
"389",CP-389,,,,,,
"390",CP-390,,,,,,
"391",CP-391,,,,,,
"392",CP-392,,,,,,
"393",CP-393,,,,,,
"394",CP-394,,,,,,
"395",CP-395,,,,,,
"396",CP-396,NH_1,CCT_3,,,,"1"
"397",CP-397,,,,,,
"398",CP-398,,,,,,
"399",CP-399,,,,,,
"400",CP-400,,,,,,
"401",CP-401,,,,,,
"402",CP-402,,,,,,
"403",CP-403,,,,,,
"404",CP-404,CCT_3,NH_1,,,,"1"
"405",CP-405,,,,,,
"406",CP-406,,,,,,
"407",CP-407,,,,,,
"408",CP-408,,,,,,
"409",CP-409,,,,,,
"410",CP-410,,,,,,
"411",CP-411,,,,,,
"412",CP-412,,,,,,
"413",CP-413,,,,,,
"414",CP-414,,,,,,
"415",CP-415,MID_5,CCB_5,,,,
"416",CP-416,NH_1,CCB_1,,,,"1"
"417",CP-417,CCB_2,MN_2,,,,
"418",CP-418,,,,,,
"419",CP-419,,,,,,
"420",CP-420,CCB_1,NH_1,,,,"1"
"421",CP-421,MN_2,CCB_2,,,,
"422",CP-422,,,,,,
"423",CP-423,,,,,,
"424",CP-424,,,,,,
"425",CP-425,,,,,,
"426",CP-426,,,,,,
"427",CP-427,,,,,,
"428",CP-428,,,,,,
"429",CP-429,,,,,,
"430",CP-430,,,,,,
"431",CP-431,,,,,,
"432",CP-432,,,,,,
"433",CP-433,,,,,,
"434",CP-434,,,,,,
