Track_num,Section_id,Symmetry_id,radius,Curve_direction,Curve_degree,Cant,length,Track_segment,length,Track_id,Start_location,End_location
1,370,,,,0,,975.053,8,975.053,CNBY_1,24082.164,25057.217
2,371,,,,0,,976.894,8,976.894,CNBY_2,24075.352,25052.246
1,372,,5457,1,0.32,7,1729.186,5,1729.186,CNBY_1,18080.9,19810.086
2,373,,5457,1,0.32,7,1729.186,5,1729.186,CNBY_2,18074.572,19803.758
1,374,,,,0,,1165.301,6,1165.301,CNBY_1,19810.086,20975.387
2,375,,,,0,,1164.817,6,1164.817,CNBY_2,19803.758,20968.575
1,376,,5136,1,0.34,7,3106.777,7,3106.777,CNBY_1,20975.387,24082.164
2,377,,5136,1,0.34,7,3106.777,7,3106.777,CNBY_2,20968.575,24075.352
1,378,,,,0,,537.609,4,537.609,CNBY_1,17543.291,18080.9
2,379,,,,0,,535.998,4,535.998,CNBY_2,17538.574,18074.572
1,380,,,,0,,11245.21,2,11245.21,CNBY_1,3084.319,14329.529
2,381,,,,0,,11243.682,2,11243.682,CNBY_2,3081.128,14324.81
1,382,,4158,1,0.42,7,3213.762,3,3213.762,CNBY_1,14329.529,17543.291
2,383,,4158,1,0.42,7,3213.764,3,3213.764,CNBY_2,14324.81,17538.574
2,384,,4989,1,0.35,7,2720.654,1,2720.654,CNBY_2,360.474,3081.128
1,385,,4989,1,0.35,7,2720.652,1,2720.652,CNBY_1,363.667,3084.319
2,386,,,,0,,360.474,0,360.474,CNBY_2,0,360.474
1,387,,,,0,,363.667,0,363.667,CNBY_1,0,363.667
1,402,,,,0,,130.691,15,130.691,GC_1,6891.04,7021.731
7,417,,,,0,,82.583,1,82.583,STA_SS_7,387.396,469.979
9,663,,,,0,,387.318,0,387.318,STA_SS_9,0,387.318
7,665,,,,0,,387.396,0,387.396,STA_SS_7,0,387.396
6,717,,,,0,,417.03,7,417.03,WA_6,2367.337,2784.367
7,728,,873,1,2,7,256.867,3,256.867,WA_7,931.844,1188.711
6,741,,812,1,2.15,7,439.584,4,439.584,WA_6,1179.92,1619.504
4,761,,,,0,,211.02,1,211.02,FJB_4,545.479,756.499
3,762,,,,0,,210.061,1,210.061,FJB_3,550.12,760.181
2,763,,,,0,,209.513,1,209.513,FJB_2,553.109,762.622
1,764,,,,0,,207.997,1,207.997,FJB_1,556.481,764.478
1,765,,1397,1,1.25,7,863.815,0,863.815,MIR_1,0,863.815
2,766,,1397,1,1.25,7,864.092,0,864.092,MIR_2,0,864.092
1,771,,,,0,,2049.096,1,2049.096,MIR_1,863.815,2912.911
2,772,,,,0,,2047.879,1,2047.879,MIR_2,864.092,2911.971
1,774,,,,0,,200.012,5,200.012,MIL_1,7903.215,8103.227
1,775,,,,0,,225.613,6,225.613,MIL_1,8103.227,8328.84
2,776,,,,0,,200.012,5,200.012,MIL_2,7916.753,8116.765
1,802,,2392,1,0.73,7,961.297,4,961.297,DAR_1,2693.494,3654.791
2,803,,2392,1,0.73,7,962.751,5,962.751,DAR_2,2694.753,3657.504
2,804,,,,0,,1.066,4,1.066,DAR_2,2693.687,2694.753
1,805,,2392,1,0.73,7,1167.027,6,1167.027,DAR_1,3902.206,5069.233
2,806,,2392,1,0.73,7,1168.112,7,1168.112,DAR_2,3903.835,5071.947
1,807,,3358,1,0.52,7,667.106,8,667.106,DAR_1,5377.282,6044.388
1,808,,,,0,,308.049,7,308.049,DAR_1,5069.233,5377.282
2,809,,3424,1,0.51,7,667.106,9,667.106,DAR_2,5376.297,6043.403
2,810,,,,0,,304.35,8,304.35,DAR_2,5071.947,5376.297
1,811,,,,0,,402.811,9,402.811,DAR_1,6044.388,6447.199
1,812,,3358,1,0.52,7,890.965,11,890.965,DAR_1,6623.8,7514.765
1,813,,,,0,,176.601,10,176.601,DAR_1,6447.199,6623.8
2,814,,3358,1,0.52,7,890.965,13,890.965,DAR_2,6622.882,7513.847
2,815,,,,0,,402.811,11,402.811,DAR_2,6043.678,6446.489
2,816,,,,0,,0.275,10,0.275,DAR_2,6043.403,6043.678
2,817,,,,0,,176.393,12,176.393,DAR_2,6446.489,6622.882
1,818,,2392,1,0.73,7,1088.32,12,1088.32,DAR_1,7514.765,8603.085
2,819,,2392,1,0.73,7,1088.32,15,1088.32,DAR_2,7514.742,8603.062
2,820,,,,0,,0.895,14,0.895,DAR_2,7513.847,7514.742
1,821,,2392,1,0.73,7,2045.568,14,2045.568,DAR_1,9120.165,11165.733
2,822,,2392,1,0.73,7,2045.569,17,2045.569,DAR_2,9116.659,11162.228
1,823,,,,0,,517.08,13,517.08,DAR_1,8603.085,9120.165
2,824,,,,0,,513.597,16,513.597,DAR_2,8603.062,9116.659
1,825,,2392,1,0.73,7,499.869,16,499.869,DAR_1,11854.407,12354.276
1,826,,,,0,,688.674,15,688.674,DAR_1,11165.733,11854.407
2,827,,2392,1,0.73,7,499.869,19,499.869,DAR_2,11854.106,12353.975
2,828,,,,0,,691.878,18,691.878,DAR_2,11162.228,11854.106
1,829,,2392,1,0.73,7,336.696,18,336.696,DAR_1,13028.289,13364.985
2,830,,2392,1,0.73,7,336.697,21,336.697,DAR_2,13027.748,13364.445
2,831,,,,0,,673.773,20,673.773,DAR_2,12353.975,13027.748
1,832,,,,0,,674.013,17,674.013,DAR_1,12354.276,13028.289
1,834,,3424,1,0.51,7,711.015,20,711.015,DAR_1,13840.877,14551.892
1,835,,,,0,,231.766,21,231.766,DAR_1,14551.892,14783.658
2,836,,3424,1,0.51,7,711.016,23,711.016,DAR_2,13840.338,14551.354
2,837,,,,0,,475.893,22,475.893,DAR_2,13364.445,13840.338
1,838,,,,0,,475.892,19,475.892,DAR_1,13364.985,13840.877
2,840,,,,0,,230.71,24,230.71,DAR_2,14551.354,14782.064
5,841,,2392,1,0.73,7,1233.439,0,1233.439,CCB_5,0,1233.439
2,842,,2392,1,0.73,7,1192.719,0,1192.719,CCB_2,0,1192.719
4,843,,2392,1,0.73,7,1174.832,0,1174.832,CCB_4,0,1174.832
1,866,,,,0,,253.487,0,253.487,PSAR_1,0,253.487
2,867,,,,0,,233.028,0,233.028,PSAR_2,0,233.028
2,875,,,,0,,102.191,47,102.191,HGL_2,24548.066,24650.257
