Section_id,Symmetry_id,Alternative_id,Start_location,End_location,Start_location_mile,End_location_mile,Track_id,Curve_degree,Curve_direction,Cant_to_add,Cant,orig_cant,Max_speed,Max_speed_freight,Curve_radius,Max_speed_calc,Notes,,,,,
74,74,,67497.55,67658.45,187.05,186.95,2,1.683333333,1,3.25,6.25,3,,,3403.710891,,,,,,,
75,75,,67658.45,67771.08,186.95,186.88,2,0,,,0,,,,,,,,,,,
76A,76A,,67771.08,68007.06667,186.88,186.7333333,2,2.75,1,2.25,6.25,4,,,2083.483636,,,,,,,
76B,76B,,68007.06667,68243.05333,186.7333333,186.5866667,2,4,1,2.25,6.25,4,,,1432.395,,,,,,,
76C,76C,,68243.05333,68479.04,186.5866667,186.44,2,1.5,1,2.25,6.25,4,,,3819.72,,,,,,,
77,77,,68479.04,69219.18,186.44,185.98,2,0,,,0,,,,,,,,,,,
78,78,,69219.18,69508.8,185.98,185.8,2,1.6,0,5.12,6.25,1.13,,,3580.9875,,,,,,,
79,79,,69508.8,69540.98,185.8,185.78,2,0,,,0,,,,,,,,,,,
80A,80A,,69540.98,69637.52,185.78,185.72,2,9.766666667,0,4.62,6.25,1.63,,,586.6464164,,,,,,,
80B,80B,,69637.52,69734.06,185.72,185.66,2,9.833333333,0,4.62,6.25,1.63,,,582.6691525,,,,,,,
80C,80C,,69734.06,69959.32,185.66,185.52,2,1.483333333,0,4.62,6.25,1.63,,,3862.638202,,,,,,,
80D,80D,,69959.32,70120.22,185.52,185.42,2,1.5,0,4.62,6.25,1.63,,,3819.72,,,,,,,
80E,80E,,70120.22,70265.03,185.42,185.33,2,5.316666667,0,4.62,6.25,1.63,,,1077.66395,,,,,,,
80F,80F,,70265.03,70425.93,185.33,185.23,2,5.1,0,4.62,6.25,1.63,,,1123.447059,,,,,,,
81,81,,70425.93,70522.47,185.23,185.17,2,0,,,0,,,,,,,,,,,
82,82,,70522.47,70667.28,185.17,185.08,2,2,1,5.12,6.25,1.13,,,2864.79,,,,,,,
83,83,,70667.28,70828.18,185.08,184.98,2,0,,,0,,,,,,,,,,,
84A,84A,,70828.18,70908.63,184.98,184.93,2,2.233333333,0,5,6.25,1.25,,,2565.483582,,,,,,,
84B,84B,,70908.63,71005.17,184.93,184.87,2,2.366666667,0,5,6.25,1.25,,,2420.949296,,,,,,,
85,85,,71005.17,71085.62,184.87,184.82,2,0,,,0,,,,,,,,,,,
86,86,,71085.62,71246.52,184.82,184.72,2,3,1,4.62,6.25,1.63,,,1909.86,,,,,,,
87,87,,71246.52,71423.51,184.72,184.61,2,0,,,0,,,,,,,,,,,
88A,88A,,71423.51,71745.31,184.61,184.41,2,3,1,3.25,6.25,3,,,1909.86,,,,,,,
88B,88B,,71745.31,72067.11,184.41,184.21,2,1.95,1,3.25,6.25,3,,,2938.246154,,,,,,,
89,89,,72067.11,72405,184.21,184,2,0,,,0,,,,,,,,,,,
90,90,,72405,72614.17,184,183.87,2,3.3,1,2.87,6.25,3.38,,,1736.236364,,,,,,,
91,91,,72614.17,72742.89,183.87,183.79,2,0,,,0,,,,,,,,,,,
92A,92A,,72742.89,72855.52,183.79,183.72,2,0.216666667,1,0.682556452,0.682556452,0,,,26444.21538,,,,,,,
92B,92B,,72855.52,72952.06,183.72,183.66,2,0.166666667,1,0,0,0,,,34377.48,,,,,,,
93,93,,72952.06,73885.28,183.66,183.08,2,0,,,0,,,,,,,,,,,
94A,94A,,73885.28,74255.35,183.08,182.85,2,4,1,0.75,6.25,5.5,,,1432.395,,,,,,,
94B,94B,,74255.35,74641.51,182.85,182.61,2,4.166666667,1,0.75,6.25,5.5,,,1375.0992,,,,,,,
95,95,,74641.51,75542.55,182.61,182.05,2,0,,,0,,,,,,,,,,,
96,96,,75542.55,75703.45,182.05,181.95,2,4.95,0,0.75,6.25,5.5,,,1157.490909,,,,,,,
97,97,,75703.45,76958.47,181.95,181.17,2,0,,,0,,,,,,,,,,,
98,98,,76958.47,77505.53,181.17,180.83,2,1.75,0,0.75,6.25,5.5,,,3274.045714,,,,,,,
99,99,,77505.53,81608.48,180.83,178.28,2,0,,,0,,,,,,,,,,,
100,100,,81608.48,81672.84,178.28,178.24,2,0.03,1,0,0.38,0.38,,,190986,51617.83784,,,,,,
101,101,,81672.84,82235.99,178.24,177.89,2,0,,,0,,,,,0,,,,,,
102,102,,82235.99,82396.89,177.89,177.79,2,0.04,1,0,0.75,0.75,,,143239.5,38713.37838,,,,,,
103,103,,82396.89,87947.94,177.79,174.34,2,0,,,0,,,,,0,,,,,,
104,104,,87947.94,88591.54,174.34,173.94,2,1.55,1,0.37,6.25,5.88,,,3696.503226,999.0549259,,,,,,
