Block_id,Block_name,Length,Start_location,End_location,Max_speed,Track,Avg_grade,Description,isStop
112,Block-43-0,1900.8,74078.4,72177.6,60,5,,,0
113,Block-43-1,897.6,72177.6,71280,55,5,,,0
114,WellesleyHills_5,369.6,71280,70910.4,55,5,,WellesleyHills_5,1
115,Block-43-3,369.6,70910.4,70540.8,55,5,,,0
116,Block-43-4,3907.2,70540.8,66633.6,60,5,,,0
117,WellesleyFarms_5,369.6,66633.6,66264,60,5,,WellesleyFarms_5,1
118,Block-43-6,2376,66264,63888,60,5,,,0
119,Block-43-7,3696,63888,60192,55,5,,,0
120,Block-44-0,4752,60192,55440,60,5,,,0
121,Auburndale_5,1056,55440,54384,60,5,,Auburndale_5,1
122,Block-44-2,844.8,54384,53539.2,79,5,,,0
123,Block-45-0,3379.2,53539.2,50160,79,5,,,0
124,WestNewton_5,844.8,50160,49315.2,79,5,,WestNewton_5,1
125,Block-45-2,2059.2,49315.2,47256,70,5,,,0
126,Block-45-3,633.6,47256,46622.4,75,5,,,0
127,Block-46-0,3326.4,46622.4,43296,79,5,,,0
128,Newtonville_5,1372.8,43296,41923.2,79,5,,Newtonville_5,1
129,Block-46-2,2587.2,41923.2,39336,79,5,,,0
130,Block-47-0,3484.8,39336,35851.2,79,5,,,0
131,Block-47-1,3115.2,35851.2,32736,60,5,,,0
132,Block-47-2,528,32736,32208,79,5,,,0
133,Block-48-0,4065.6,32208,28142.4,79,5,,,0
134,Block-48-1,1742.4,28142.4,26400,60,5,,,0
135,Block-48-2,1636.8,26400,24763.2,79,5,,,0
136,BostonLanding_5,739.2,24763.2,24024,79,5,,BostonLanding_5,1
137,Block-48-4,4699.2,24024,19324.8,79,5,,,0
138,Block-48-5,2798.4,19324.8,16526.4,50,5,,,0
139,Block-48-6,158.4,16526.4,16368,40,5,,,0
140,Block-49-0,2904,16368,13464,40,5,,Contains Lansdowne,0
141,Lansdowne_5,739.2,13464,12724.8,40,5,,Lansdowne_5,1
142,Block-49-2,1108.8,12724.8,11616,40,5,,,0
143,Block-50-0,4435.2,11616,7180.8,30,5,,,0
144,BackBay_5,369.6,7180.8,6811.2,30,5,,BackBay_5,1
145,Block-50-2,897.6,6811.2,5913.6,30,5,,,0
146,Block-51-0,3273.6,5913.6,2640,30,5,,Cove Interlocking,0
147,Block-52-0,1640,2640,1000,10,5,,Tower 1 Interlocking,0
148,SouthStation_5,1000,1000,0,,5,,SouthStation_5,1
149,SouthStation_7,10,0,10,5,7,,SouthStation_7,1
150,Dummy1,0,242880,242880,0,7,,,0
151,Dummy2,0,242880,242880,0,7,,,0
152,Dummy3,0,0,0,0,7,,,0
153,Dummy4,0,0,0,0,7,,,0
154,Dummy5,0,0,0,0,5,,,0
155,Dummy6,0,0,0,0,5,,,0
156,Dummy7,0,234432,234432,0,5,,,0
157,Dummy8,0,234432,234432,0,5,,,0
