Stop_name,Min_dwell,Max_dwell,Stop_id,Turn_time,Capacity,Stop_loc,East_bound_1,West_bound_1,Is_turn,Length,Track_1,Max_speed
JerseyAvenue_4,60,60,245,30,1,76,40208.354,41067.644,1,152,PENN_4,1
JerseyAvenue_5,60,60,256,30,1,76,,,1,152,JAV_5,1
Larchmont_3,60,60,215,30,1,128.5,12650.042,12848.209,1,257,MID_3,1
Larchmont_4,60,60,214,30,1,128.5,85763.667,85968.269,1,257,MID_4,1
Levittown_1,60,60,97,30,1,111,87481.503,89509.108,1,222,PENN_1,1
Levittown_4,60,60,98,30,1,111,88613.186,90609.106,1,222,PENN_4,1
Linden_A,60,60,110,30,1,59,3897.703,5062.679,1,118,RAH_A,1
Linden_B,60,60,111,30,1,105,3966.573,5057.268,1,210,LIN_B,1
Mamaroneck_3,60,60,71,30,1,130,9774.115,12650.042,1,260,MID_3,1
Mamaroneck_4,60,60,70,30,1,130,82892.86,85763.667,1,260,MID_4,1
Mansfield_1,60,60,54,30,1,118.5,39334.668,39649.668,1,237,BOS_1,1
Mansfield_2,60,60,55,30,1,75.5,39336.671,39623.447,1,151,BOS_2,1
MarcusHook_1,60,60,270,30,1,62,,,1,124,CYN_1,1
MarcusHook_4,60,60,269,30,1,42.5,23769.876,25113.5,1,85,DAR_4,1
MartinStateAirport,60,60,254,30,1,30,7295.853,7337.287,1,60,MID_A,1
Melrose_3,60,60,224,30,1,28,16378.695,16483.63,1,56,GC_3,1
Melrose_4,60,60,258,30,1,28,16403.916,16863.055,1,56,GC_4,1
Metropark_4,60,60,238,30,1,172.5,24276.023,24856.401,1,345,PENN_4,1
Metuchen_1,60,60,239,30,1,104,27291.932,27703.41,1,208,PENN_1,1
Metuchen_1A,60,60,319,30,1,104,2875.315,3417.518,1,208,MET_1,1
Metuchen_4,60,60,240,30,1,94,28428.302,28789.857,1,188,PENN_4,1
Metuchen_4A,60,60,320,30,1,94,2924.915,3283.989,1,188,MET_4,1
Milford_1,60,60,102,30,1,50,14787.156,15096.48,1,100,NH_1,1
Milford_4,60,60,103,30,1,130.5,14049.348,14271.18,1,261,MID_4,1
MorrisPark_3,60,60,226,30,1,124,2083.637,2312.117,1,248,PSA_3,1
MorrisPark_4,60,60,315,30,1,124,,,1,248,PSA_4,1
MountVernonEast_3,60,60,219,30,1,147,3747.107,3929.439,1,294,GC_3,1
MountVernonEast_4,60,60,218,30,1,130,3934.701,4481.254,1,260,GC_4,1
Mystic_1,60,60,148,30,1,106,153943.552,154145.59,1,212,BOS_1,1
Mystic_2,60,60,149,30,1,43.5,154223.531,154534.326,1,87,BOS_2,1
Newark_3,60,60,62,30,1,20.5,60185.091,60585.796,1,41,SO_3,1
Newark_A,60,60,171,30,1,84.5,,,1,169,NWK_A,1
NewarkLiberty_1,60,60,280,30,1,160,3823.758,4054.866,1,320,PENN_1,1
NewarkLiberty_4,60,60,281,30,1,160,4923.335,6002.893,1,320,PENN_4,1
NewarkLiberty_5,60,60,20,30,1,160,1605.953,2685.56,1,320,ELI_5,1
NewarkLiberty_A,60,60,19,30,1,160,1597.303,2604.815,1,320,ELI_A,1
NewarkPenn_1,60,60,87,30,1,146,2967.041,3512.634,1,292,NWK_1,1
NewarkPenn_2,60,60,86,30,1,146,3052.859,3483.308,1,292,PENN_2,1
NewarkPenn_3,60,60,85,30,1,146,3056.209,3379.967,1,292,PENN_3,1
NewarkPenn_4,60,60,298,30,1,146,863.037,1070.02,1,292,PENN_4,1
NewBrunswick_1,60,60,243,30,1,104,36230.504,38122.108,1,208,PENN_1,1
NewBrunswick_4,60,60,244,30,1,104,37239.106,37320.009,1,208,PENN_4,1
NewCarrollton_2,60,60,31,30,1,122.5,201242.264,201412.969,1,245,SO_2,1
NewCarrollton_3,60,60,291,30,1,122.5,201308.346,201715.5,1,245,SO_3,1
NewCob_4,60,60,260,30,1,59.5,762.709,1174.832,1,119,CCB_4,1
NewCob_5,60,60,259,30,1,61,767.291,1233.438,1,122,CCB_5,1
NewHaven_1,60,60,305,30,1,121.5,420.589,608.504,1,243,NH_1,1
NewHaven_2,60,60,306,30,1,126,589.276,671.453,1,252,MN_2,1
NewHaven_3,60,60,176,30,1,121.5,2505.465,2678.67,1,243,MN_3,1
NewHaven_4,60,60,177,30,1,126,,,1,252,STA_NH_4,1
NewHaven_6,60,60,303,30,1,109,,,1,218,STA_NH_6,1
NewHaven_7,60,60,174,30,1,109,,,1,218,STA_NH_7,1
NewHaven_8,60,60,304,30,1,121.5,,,1,243,STA_NH_8,1
NewHaven_9,60,60,175,30,1,121.5,,,1,243,STA_NH_9,1
NewHavenCR_2,60,60,21,30,1,42,1571.215,1611.759,1,84,NH_2,1
NewHavenCR_3,60,60,181,30,1,52,1588.22,1783.485,1,104,MN_3,1
NewHavenCR_4,60,60,282,30,1,42,1568.851,1782.536,1,84,NH_4,1
NewLondon_1,60,60,263,30,1,107.5,169592.225,169743.691,1,215,BOS_1,1
NewLondon_2,60,60,309,30,1,65,169562.534,169747.668,1,130,BOS_2,1
NewLondon_3,60,60,182,30,1,65,393.437,580.538,1,130,LON_3,1
NewMilford_1,60,60,262,30,1,47.5,496.559,863.815,1,95,MIR_1,1
NewMilford_4,60,60,261,30,1,47.5,,,1,95,MIR_4,1
NewRochelle_2_4,60,60,72,30,1,110,,,1,220,"MN_2,MID_4",1
NewRochelle_3,60,60,73,30,1,118,16014.233,16122.334,1,236,MID_3,1
NewWestBaltimore_1,60,60,272,30,1,16,4382.595,4686.912,1,32,FDT_1,1
NewWestBaltimore_2,60,60,271,30,1,16,4410.012,4661.481,1,32,FDT_2,1
NorotonHeights_3,60,60,206,30,1,128,39956.281,40958.966,1,256,CCT_3,1
NorotonHeights_4,60,60,207,30,1,128,57551.148,58554.668,1,256,MID_4,1
NorthElizabeth_1,60,60,233,30,1,79.5,6821.303,6953.035,1,159,PENN_1,1
