id,Name,Control_track,Ahead_track,type,Direction,Ahead_track_location,Ahead_track_segment,Control_track_location,Speed
421,CP-421,MN_2,CCB_2,,,0,0,69169.948,88
464,CP-464,MID_3,GC_4,,,0,0,16142.376,88
465,CP-465,HGL_2,MID_4,,,89287.007,206,0,88
637,CP-637,STA_PSNY_6,HGL_2,,,30663.074,72,0,88
676,CP-676,NJ_2,JC_4,,1,0,0,5922.409,88
684,CP-684,JC_3,NJ_2,,1,7815.193,10,2076.128,88
751,CP-751,PENN_4,LIN_B,,,0,0,10853.205,88
779,CP-779,LIN_B,PENN_4,,,19654.494,44,8796.974,88
880,CP-880,PENN_4,FJA_4,,,0,0,116323.651,88
883,CP-883,PENN_2,FJA_2,,,1431.671,3,119542.089,88
885,CP-885,FJA_4,PENN_4,,,117808.427,159,1470.357,88
911,CP-911,PENN_3,PENN_2,,1,128910.681,193,128991.018,88
917,CP-917,PENN_2,PENN_1,,1,125996.804,175,129267.269,88
918,CP-918,PENN_1,PENN_2,,,129336.002,197,125996.804,88
935,CP-935,STA_TH_8,SO_2,,1,0,0,1489.21,88
964,CP-964,STA_TH_10,STA_TH_8,,,598.444,6,0,88
973,CP-973,WA_6,WA_7,,,1727.573,8,1711.717,88
975,CP-975,SCH_5,DAR_4,,,1764.364,3,1464.093,88
982,CP-982,WA_7,SCH_5,,,0,0,1854.376,88
1010,CP-1010,DAR_4,SO_3,,,30330.372,44,28229.38,88
1011,CP-1011,BEL_1F,SO_2,,,29926.559,44,0,88
1017,CP-1017,BEL_1,BEL_2F,,,3152.54,7,0,88
1019,CP-1019,SO_2,BEL_1,,,4770.519,8,38327.426,88
1025,CP-1025,WIL_1,SO_2,,,40386.57,61,0,88
1029,CP-1029,SO_3,SO_2,,,44871.248,72,44765.28,88
1035,CP-1035,SO_2,WIL_1,,,5094.407,10,45784.271,88
1042,CP-1042,WIL_1,SO_2,,,59620.051,92,19108.861,88
1051,CP-1051,NOR_1,WIL_1,,,35850.249,43,0,88
1053,CP-1053,SO_2,NOR_2,,1,0,0,77641.778,88
1055,CP-1055,NOR_2,SO_3,,1,78712.204,110,1272.835,88
1055,CP-1055,NOR_2,SO_3,,1,78712.204,110,1263.5,88
1056,CP-1056,WIL_1,NOR_1,,,0,0,38323.339,88
1059,CP-1059,SO_2,WIL_1,,,38451.222,46,79149.731,88
1062,CP-1062,CHA_2,SO_2,,,80657.361,119,0,88
1063,CP-1063,SO_3,CHA_3,,1,0,0,82681.193,88
1064,CP-1064,SO_2,CHA_2,,,1168.81,2,83463.029,88
1065,CP-1065,CHA_3,SO_3,,1,83358.004,121,1167.864,88
1066,CP-1066,PER_2,SO_2,,,86955.947,126,0,88
1067,CP-1067,SO_3,PER_3,,1,0,0,87970.762,88
1068,CP-1068,SO_2,PER_2,,,1399.429,2,89401.759,88
1069,CP-1069,PER_3,SO_3,,1,89421.689,130,115.475,88
1079,CP-1079,SO_3,HDGB_3,,1,0,0,94317.997,88
1080,CP-1080,SO_2,HDGB_2,,,0,0,94424.467,88
1082,CP-1082,HDGB_3,SO_3,,1,95785.993,140,1386.733,88
1087,CP-1087,ABE_4,SO_3,,,111951.019,152,15347.395,88
1096,CP-1096,SO_3,SO_2,,1,124729.853,158,124741.975,88
1099,CP-1099,MID_1,SO_2,,,125286.11,162,0,88
1099,CP-1099,MID_1,SO_2,,,125210.057,161,0,88
1131,CP-1131,SO_2,MID_1,,,25988.512,38,151263.435,88
1132,CP-1132,SO_3,FDT_2,,,0,0,151268.172,88
1133,CP-1133,FDT_1,SO_2,,,151370.056,216,0,88
1142,CP-1142,SO_1,SO_2,,,154803.246,229,0,88
1144,CP-1144,SO_1,FDT_1,,,4382.595,6,711.456,88
1145,CP-1145,FDT_2,SO_2,,1,155577.624,232,4661.481,88
1183,CP-1183,SO_2,SO_3,,1,204051.125,312,204285.545,88
26,CP-26,CNBY_1,BOS_1,,1,239952.384,360,113570.454,88
1203,CP-1203,JC_4,JC_3,,1,1685.112,5,612.459,88
1206,CP-1206,SO_2,SO_3,,1,166468.817,262,166570.963,88
1207,CP-1207,SO_3,SO_2,,1,168241.957,258,167940.469,88
1208,CP-1208,SO_3,STA_DCU_13,,1,0,0,214757.833,88
1209,CP-1209,PROV_7,PROV_3,,,1014.708,13,1399.004,88
1209,CP-1209,PROV_7,PROV_3,,,997.519,12,1399.004,88
1210,CP-1210,NH_1,CCT_3,,,0,0,17606.424,88
1211,CP-1211,MID_5,MID_3,nominal,,0,0,12602.26,88
1212,CP-1212,MID_3,NH_1,,,90082.917,218,16122.334,88
1214,CP-1214,NH_1,MN_2,,,90109.53,220,90212.297,88
1216,CP-1216,HGL_2,HGL_1,,,13920.409,31,13924.753,88
1217,CP-1217,PENN_3,PENN_4,,,0,0,2041.479,88
1218,CP-1218,PENN_2,STA_TH_B,,,0,0,129336.002,88
1219,CP-1219,STA_TH_C,WA_6,,,0,0,801.968,88
1221,CP-1221,WA_7,DAR_4,,,0,0,1664.486,88
1222,CP-1222,SO_3,ABE_4,,,0,0,96149.421,88
1224,CP-1224,SO_3,SO_2,,,130320.4,165,130213.018,88
1227,CP-1227,SO_2,MID_1,,,5036.897,3,131921.134,88
1229,CP-1229,MID_1,MID_A,,,5294.567,4,6825.189,88
1231,CP-1231,MID_A,MID_1,,,7067.91,7,7295.853,88
1233,CP-1233,MID_1,SO_2,,,132527.183,172,7233.133,88
1235,CP-1235,SO_2,SO_3,,,132540.596,176,132637.219,88
1237,CP-1237,FDT_2,SO_3,,,155471.817,240,4410.012,88
1239,CP-1239,STA_DCU_1,SO_2,,,214879.645,328,0,88
1240,CP-1240,BEL_1,BEL_1F,,,3150.98,7,0,88
1241,CP-1241,STA_TH_8,PENN_1,,,128019.784,181,0,88
1242,CP-1242,HGL_2,MN_2,,,90426.684,222,0,88
1244,CP-1244,BOS_2,KIN_2,,,1421.315,2,110087.451,88
1245,CP-1245,BOS_2,STA_SS_9,,,604.07,12,0,88
1247,CP-1247,PENN_1,STA_TH_8,,1,0,0,128019.784,88
1205,CP-1205,SO_2,FDT_2,,1,0,0,151428.71,88
1176,CP-1176,SO_1,SO_2,,0,45618,81,200670.185,88
