Track_num,Section_id,Curve_degree,Curve_direction,Cant,Max_speed,length,Section,Track_id,Start_loc,End_loc,Track_segment
2,291,0,,,,364.849,NHB,NHB_2,0,364.849,0
1,292,0.41,1,7,,76.972,CNBY,CNBY_1,113570.454,113647.426,64
1,293,0.41,1,7,,7.434,CNBY,CNBY_1,113647.426,113654.86,65
1,294,0.41,1,7,,516.454,CNBY,CNBY_1,113054,113570.454,63
2,295,0.41,1,7,,84.467,CNBY,CNBY_2,113564.191,113648.658,64
2,296,0.41,1,7,,516.454,CNBY,CNBY_2,113047.737,113564.191,63
2,297,0,,,,354.746,CNBY,CNBY_2,112692.991,113047.737,62
1,298,0,,,,358.318,CNBY,CNBY_1,112695.682,113054,62
1,299,0.36,1,7,,990.698,CNBY,CNBY_1,111704.984,112695.682,61
2,300,0.36,1,7,,990.699,CNBY,CNBY_2,111702.292,112692.991,61
2,301,0.41,1,7,,1357.223,CNBY,CNBY_2,110269.649,111626.872,59
2,302,0,,,,75.42,CNBY,CNBY_2,111626.872,111702.292,60
1,303,0.41,1,7,,1357.222,CNBY,CNBY_1,110274.453,111631.675,59
1,304,0,,,,73.309,CNBY,CNBY_1,111631.675,111704.984,60
1,305,0,,,,1271.725,CNBY,CNBY_1,109002.728,110274.453,58
1,306,0.36,1,7,,1327.404,CNBY,CNBY_1,107675.324,109002.728,57
1,307,0,,,,491.011,CNBY,CNBY_1,107184.313,107675.324,56
2,308,0,,,,488.014,CNBY,CNBY_2,107179.346,107667.36,56
1,309,0,,,,833.283,CNBY,CNBY_1,105543.649,106376.932,54
2,310,0,,,,833.773,CNBY,CNBY_2,105538.192,106371.965,54
2,311,0.42,1,7,,807.381,CNBY,CNBY_2,106371.965,107179.346,55
1,312,0.42,1,7,,807.381,CNBY,CNBY_1,106376.932,107184.313,55
1,313,0.48,1,7,,753.728,CNBY,CNBY_1,104789.921,105543.649,53
2,314,0.48,1,7,,753.729,CNBY,CNBY_2,104784.463,105538.192,53
1,315,0,,,,2809.469,CNBY,CNBY_1,101980.452,104789.921,52
2,316,0,,,,2809.67,CNBY,CNBY_2,101974.793,104784.463,52
1,317,0,,,,2862.261,CNBY,CNBY_1,98650.147,101512.408,50
2,318,0,,,,2863.752,CNBY,CNBY_2,98642.997,101506.749,50
1,319,0.46,1,7,,468.044,CNBY,CNBY_1,101512.408,101980.452,51
2,320,0.46,1,7,,468.044,CNBY,CNBY_2,101506.749,101974.793,51
1,321,0.44,1,7,,1370.314,CNBY,CNBY_1,96466.352,97836.666,47
2,322,0.44,1,7,,1367.347,CNBY,CNBY_2,96463.933,97831.28,47
1,323,0,,,,25.404,CNBY,CNBY_1,97836.666,97862.07,48
2,324,0,,,,23.639,CNBY,CNBY_2,97831.28,97854.919,48
2,325,0.58,1,7,,788.078,CNBY,CNBY_2,97854.919,98642.997,49
1,326,0.58,1,7,,788.077,CNBY,CNBY_1,97862.07,98650.147,49
1,327,0,,,,3804.546,CNBY,CNBY_1,92661.806,96466.352,46
2,328,0,,,,3806.267,CNBY,CNBY_2,92657.666,96463.933,46
1,329,0.5,1,7,,736.684,CNBY,CNBY_1,91925.122,92661.806,45
