Track_num,Section_id,Curve_degree,Curve_direction,Cant,length,Section,Track_id,Max_speed,Start_loc,End_loc,Track_segment
2,4062,0,,,121.151,SO,SO_2,,117983.094,118104.245,151
2,4063,0,,,2360.437,SO,SO_2,,115622.657,117983.094,150
3,4064,0.3,1,7,99.557,SO,SO_3,,121799.077,121898.634,160
2,4065,0.3,1,7,99.468,SO,SO_2,,121905.72,122005.188,154
3,4066,0,,,441.637,SO,SO_3,,121898.634,122340.271,161
2,4067,0.1,1,7,481.014,SO,SO_2,,115141.643,115622.657,149
3,4068,0,,,2358.126,SO,SO_3,,115519.605,117877.731,155
3,4069,0,,,231.199,SO,SO_3,,117877.731,118108.93,156
3,4070,0,,,20.951,SO,SO_3,,118108.93,118129.881,157
3,4071,0,,,51.257,SO,SO_3,,118129.881,118181.138,158
3,4072,0,,,3617.939,SO,SO_3,,118181.138,121799.077,159
2,4073,0,,,2594.359,SO,SO_2,,112547.284,115141.643,148
2,4074,0,,,300.801,SO,SO_2,,112246.483,112547.284,147
3,4075,0.2,1,7,481.284,SO,SO_3,,115038.321,115519.605,154
3,4076,0,,,159.463,SO,SO_3,,95785.993,95945.456,140
2,4077,0.5,1,7,1009.908,SO,SO_2,,111236.575,112246.483,146
3,4078,0,,,2894.399,SO,SO_3,,112143.922,115038.321,153
3,4079,0.25,1,7,1868.696,SO,SO_3,,109265.44,111134.136,150
2,4080,0,,,4973.088,SO,SO_2,,104393.777,109366.865,144
4,4081,0.2,1,7,1867.697,ABE,ABE_4,,13479.698,15347.395,10
2,4082,0.2,1,7,1869.71,SO,SO_2,,109366.865,111236.575,145
3,4083,0.55,1,7,816.883,SO,SO_3,,111134.136,111951.019,151
3,4084,0.55,1,7,192.903,SO,SO_3,,111951.019,112143.922,152
4,4085,0.55,1,7,1008.755,ABE,ABE_4,,15347.395,16356.15,11
3,4086,0,,,4973.175,SO,SO_3,,104292.265,109265.44,149
2,4087,0.55,1,7,800.567,SO,SO_2,,103593.21,104393.777,143
4,4088,0,,,4973.265,ABE,ABE_4,,8506.433,13479.698,9
3,4089,0.6,1,7,799.482,SO,SO_3,,103492.783,104292.265,148
2,4090,0,,,1177.418,SO,SO_2,,102415.792,103593.21,142
2,4091,0,,,206.12,SO,SO_2,,102209.672,102415.792,141
4,4092,0.6,1,7,798.39,ABE,ABE_4,,7708.043,8506.433,8
3,4093,0,,,1384.269,SO,SO_3,,102108.514,103492.783,147
2,4094,1,1,7,1248.046,SO,SO_2,,100961.626,102209.672,140
4,4095,0,,,207.108,ABE,ABE_4,,6323.028,6530.136,6
4,4096,0,,,1177.907,ABE,ABE_4,,6530.136,7708.043,7
3,4097,1,1,7,1250.584,SO,SO_3,,100857.93,102108.514,146
2,4098,0,,,2395.392,SO,SO_2,,98566.234,100961.626,139
4,4099,1,1,7,1253.121,ABE,ABE_4,,5069.907,6323.028,5
3,4100,0,,,2395.29,SO,SO_3,,98462.64,100857.93,145
2,4101,0.7,1,7,1642.067,SO,SO_2,,96924.167,98566.234,138
4,4102,0,,,2395.192,ABE,ABE_4,,2674.715,5069.907,4
3,4103,0.7,1,7,1285.881,SO,SO_3,,96824.505,98110.386,143
3,4104,0.7,1,7,352.254,SO,SO_3,,98110.386,98462.64,144
2,4105,0,,,1031.789,SO,SO_2,,95892.378,96924.167,137
4,4106,0.7,1,7,1427.599,ABE,ABE_4,,1038.577,2466.176,2
4,4107,0.7,1,7,208.539,ABE,ABE_4,,2466.176,2674.715,3
2,4108,0.75,1,7,1467.911,SO,SO_2,,94424.467,95892.378,136
4,4109,0,,,567.006,ABE,ABE_4,,0,567.006,0
4,4110,0,,,471.571,ABE,ABE_4,,567.006,1038.577,1
2,4111,0.5,1,7,177.44,SO,SO_2,,89401.759,89579.199,131
2,4112,0.5,1,7,31.488,SO,SO_2,,89370.271,89401.759,130
2,4113,0.5,1,7,349.782,SO,SO_2,,89020.489,89370.271,129
3,4114,0.5,1,7,720.964,SO,SO_3,,89476.455,90197.419,131
2,4115,0.5,1,7,724.65,SO,SO_2,,89579.199,90303.849,132
2,4116,1.4,1,7,509.999,SO,SO_2,,88510.49,89020.489,128
2,4117,0.15,1,7,2628.842,SO,SO_2,,84327.105,86955.947,125
3,4118,0,,,1122.815,SO,SO_3,,86847.947,87970.762,124
3,4119,0,,,2.783,SO,SO_3,,87970.762,87973.545,125
2,4120,0.55,1,7,326.839,SO,SO_2,,84000.266,84327.105,124
3,4121,0.2,1,7,2627.708,SO,SO_3,,84220.239,86847.947,123
2,4122,0,,,82.134,SO,SO_2,,83380.895,83463.029,122
3,4123,0.6,1,7,535.589,SO,SO_3,,83358.004,83893.593,121
2,4124,1.1,1,7,343.484,SO,SO_2,,83037.411,83380.895,121
3,4125,0,,,82.19,SO,SO_3,,83275.814,83358.004,120
2,4126,0,,,251.648,SO,SO_2,,82785.763,83037.411,120
3,4127,1.2,1,7,343.133,SO,SO_3,,82932.681,83275.814,119
2,4128,0.9,1,7,1209.716,SO,SO_2,,79447.645,80657.361,118
2,4129,0.9,1,7,4.437,SO,SO_2,,79443.208,79447.645,117
3,4130,0,,,2128.122,SO,SO_3,,80553.071,82681.193,116
