id,Name,Control_track,Ahead_track,type,Direction,Control_track_location,Control_track_segment,Ahead_track_location,Ahead_track_segment,Speed
1207,CP-1207,SO_3,SO_2,,0,168143.727,265,168241.957,258,89
1208,CP-1208,SO_3,STA_DCU_13,,0,214788.363,328,0,0,89
1209,CP-1209,PROV_7,PROV_3,,0,1399.004,14,1043.48,13,89
1209,CP-1209,PROV_7,PROV_3,,0,1399.004,14,997.519,12,89
1210,CP-1210,NH_1,CCT_3,,0,18417.33,40,0,0,89
1211,CP-1211,MID_5,MID_3,nominal,0,12877.248,38,0,0,89
1212,CP-1212,MID_3,NH_1,,0,16142.376,28,90033.705,217,89
1214,CP-1214,NH_1,MN_2,,0,90260.325,219,90109.53,220,89
1216,CP-1216,HGL_2,HGL_1,,0,14168.995,32,13920.409,31,89
1217,CP-1217,PENN_3,PENN_4,,0,2194.48,6,0,0,89
1218,CP-1218,PENN_2,STA_TH_B,,0,129522.745,197,0,0,89
1219,CP-1219,STA_TH_C,WA_6,,0,1191.317,2,0,0,89
1221,CP-1221,WA_7,DAR_4,,0,1727.573,7,0,0,89
1222,CP-1222,SO_3,ABE_4,,0,96824.505,142,0,0,89
1224,CP-1224,SO_3,SO_2,,0,131675.933,170,130320.4,165,89
1227,CP-1227,SO_2,MID_1,,0,131954.762,166,5036.897,3,89
1229,CP-1229,MID_1,MID_A,,0,6857.805,4,5294.567,4,89
1231,CP-1231,MID_A,MID_1,,0,7337.287,6,6950.511,6,89
1233,CP-1233,MID_1,SO_2,,0,7255.434,8,132504.881,171,89
1235,CP-1235,SO_2,SO_3,,0,132659.586,173,132518.23,175,89
1237,CP-1237,FDT_2,SO_3,,0,4661.481,9,155471.817,240,89
1239,CP-1239,STA_DCU_1,SO_2,,1,0,0,214901.667,328,89
1240,CP-1240,BEL_1,BEL_1F,,1,0,0,3486.99,7,89
1241,CP-1241,STA_TH_8,PENN_1,,1,0,0,128029.183,181,89
1242,CP-1242,HGL_2,MN_2,,1,0,0,90499.394,222,89
1244,CP-1244,BOS_2,KIN_2,,1,110389.87,188,1477.573,2,89
1245,CP-1245,BOS_2,STA_SS_9,,1,0,0,631.475,12,89
1247,CP-1247,PENN_1,STA_TH_8,,0,128019.784,180,0,0,89
1248,CP-1248,SO_2,STA_TH_10,beg,0,0,0,0,7,89
1249,CP-1249,MN_2,MIR_2,,1,17684.319,42,3449.407,3,89
1250,CP-1250,MN_2,MIR_2,,0,14206.668,31,0,0,89
