Stop_id,,Stop_name,Opposite_stop_id,Max_dwell,Min_dwell,Turnaround_time,Capacity,Length,Stop_location,East_bound,West_bound,East_bound_miles,West_bound_miles,Max_speed,Track,Is_turnaround
101,,Edgewood_2,,100,30,30,1,100,50,594642,594812,309155,309225,1,2,1
102,,MartinAirport_2,,100,30,30,1,100,50,599142,599312,313655,313725,1,2,1
103,,WestBaltimore_2,,100,30,30,1,100,50,612842,613012,327355,327425,1,2,1
104,,Halethorpe_2,,100,30,30,1,100,50,305755,305925,20268,20338,1,2,1
105,,BWI_2,,100,30,30,1,100,50,311055,311225,25568,25638,1,2,1
106,,Odenton_2,,100,30,30,1,100,50,322555,322725,37068,37138,1,2,1
107,,BowieState_2,,100,30,30,1,100,50,332055,332225,46568,46638,1,2,1
108,,Seabrook_2,,100,30,30,1,100,50,340155,340325,54668,54738,1,2,1
109,,NewCarrollton_2,,100,30,30,1,100,50,344655,344825,59168,59238,1,2,1
110,,UnionStation_2,,100,30,30,1,100,50,358355,358525,72868,72938,1,2,1
111,1,SouthStation_2,,100,30,30,1,100,50,300,400,,,1,2,1
112,2,BackBay_2,,100,30,30,1,386.2416,50,2059.9552,2446.1968,,,1,2,1
113,3,Ruggles_2,,100,30,30,1,128.7472,50,3958.9764,4087.7236,,,1,2,1
114,19,ForestHills_2,,100,30,30,1,160.934,50,8449.035,8609.969,,,1,2,1
115,4,HydePark_2,,100,30,30,1,160.934,50,13309.2418,13470.1758,,,1,2,1
116,5,Readville_2,,100,30,30,1,160.934,50,15192.1696,15353.1036,,,1,2,1
117,6,Route128_2,,100,30,30,1,160.934,50,18539.5968,18700.5308,,,1,2,1
118,7,CantonJunction_2,,100,30,30,1,160.934,50,23786.0452,23946.9792,,,1,2,1
119,8,Sharon_2,,100,30,30,1,160.934,50,28968.12,29129.054,,,1,2,1
120,9,Mansfield_2,,100,30,30,1,160.934,50,39782.8848,39943.8188,,,1,2,1
121,10,Attleboro_2,,100,30,30,1,160.934,50,51321.8526,51482.7866,,,1,2,1
122,11,SouthAttleboro_2,,100,30,30,1,160.934,50,59465.113,59626.047,,,1,2,1
123,12,Pawtucket_2,,100,30,30,1,144.8406,50,61975.6834,62120.524,,,1,2,1
124,13,Providence_2,,100,30,30,1,160.934,50,70215.5042,70376.4382,,,1,2,1
125,14,TFGreenAirport_2,,100,30,30,1,160.934,50,84329.416,84490.35,,,1,2,1
126,15,WickfordJunction_2,,100,30,30,1,160.934,50,101549.354,101710.288,,,1,2,1
130,22,Westerly_2,,100,30,30,1,165,50,141994.55,142159.55,,,1,2,1
131,23,Mystic_2,,100,30,30,1,210.13,50,156666,156876.13,,,1,2,1
132,24,NewLondon_2,,100,30,30,1,130.11,50,172484.43,172614.54,,,1,2,1
133,25,OldSaybrook_2,,100,30,30,1,73.24,50,201198.76,201272,,,1,2,1
134,26,UnionNewHaven_2,,100,30,30,1,242.45,50,254244.55,254487,,,1,2,1
42,,NewHaven_3,,100,0,30,1,90,50,0,285587,,,1,3,1
43,,Stamford_3,,100,30,30,1,100,50,294087,294187,,,1,3,1
44,,Harlem125_3,,100,30,30,1,100,50,302187,302237,,,1,3,1
45,,GrandCentral_3,,100,0,0,1,100,50,306387,306487,,,1,3,1
46,,Stamford_3,,100,30,30,1,100,50,309287,309387,,,1,3,1
47,,NewRochelle_3,,100,30,30,1,100,50,310887,310987,,,1,3,1
