Stop_id,Stop_name,Opposite_stop_id,Max_dwell,Min_dwell,Turnaround_time,Capacity,Length,Stop_location,East_bound,West_bound,East_bound_miles,West_bound_miles,Max_speed,Track,Is_turnaround
39,Parkchester_2,,100,180,30,1,100,50,11800,11900,,,1,2,1
40,HuntsPoint_2,,100,30,30,1,100,50,19500,19600,,,1,2,1
41,PennStation_2,,100,60,0,1,100,50,31000,31100,,,1,2,1
42,NewHaven_3,,100,0,30,1,90,50,10,100,,,1,3,1
43,Stamford_3,,100,30,30,1,100,50,62800,62900,,,1,3,1
44,Harlem125_3,,100,30,30,1,100,50,109400,109500,,,1,3,1
45,GrandCentral_3,,100,0,0,1,100,50,115630,115730,,,1,3,1
46,Stamford_3,,100,30,30,1,100,50,62800,62900,,,1,3,1
47,NewRochelle_3,,100,30,30,1,100,50,89100,89200,,,1,3,1
48,Penn_2,,100,0,30,1,100,50,31000,31100,,,1,2,1
49,Seacaucus_2,,100,30,30,1,100,50,39600,39700,,,1,2,1
50,Newark_2,,100,30,30,1,50,25,47700,47750,,,1,2,1
51,NewarkAirport_2,,100,30,30,1,100,50,51900,52000,,,1,2,1
52,NorthElizabeth_2,,100,30,30,1,100,50,54800,54900,,,1,2,1
53,Elizabeth_2,,100,30,30,1,100,50,56400,56500,,,1,2,1
54,Linden_2,,100,30,30,1,30,15,61500,61530,,,1,2,1
55,Rahway_2,,100,30,30,1,100,50,64900,65000,,,1,2,1
56,Metropark_2,,100,30,30,1,100,50,70500,70600,,,1,2,1
57,Metuchen_2,,100,30,30,1,100,50,74800,74900,,,1,2,1
58,Edison_2,,100,30,30,1,100,50,79800,79900,,,1,2,1
59,NewBrunswick_2,,100,30,30,1,100,50,83600,83700,,,1,2,1
60,JerseyAvenue_2,,100,30,30,1,100,50,86400,86500,,,1,2,1
61,Princeton_2,,100,30,30,1,100,50,108900,109000,,,1,2,1
62,Hamilton_2,,100,30,30,1,100,50,118500,118600,,,1,2,1
63,Trenton_2,,100,30,30,1,100,50,123000,123100,,,1,2,1
64,LevittTully_2,,100,30,30,1,100,50,134000,134100,,,1,2,1
65,Bristol_2,,100,30,30,1,100,50,139000,139100,,,1,2,1
66,Croydon_2,,100,30,30,1,100,50,144000,144100,,,1,2,1
67,Eddington_2,,100,30,30,1,100,50,147000,147100,,,1,2,1
68,CornwellsHeights_2,,100,30,30,1,100,50,148500,148600,,,1,2,1
69,Torresdale_2,,100,30,30,1,100,50,151900,152000,,,1,2,1
70,Holmesburg_2,,100,30,30,1,100,50,156000,156100,,,1,2,1
71,Tacony_2,,100,30,30,1,100,50,157700,157800,,,1,2,1
72,Bridesburg_2,,100,30,30,1,100,50,160600,160700,,,1,2,1
73,NorthPhil_2,,100,30,30,1,100,50,168550,168650,,,1,2,1
74,30thSt_2,,100,30,30,1,100,50,172000,172100,,,1,2,1
75,Suburban_2,,100,30,30,1,100,50,,,,,1,2,1
76,Jefferson_2,,100,30,30,1,100,50,,,,,1,2,1
77,Temple_2,,100,30,30,1,100,50,,,,,1,2,1
