Section_id,Symmetry_id,Track_segment,Start_location,End_location,Start_location_mile,End_location_mile,length,Track_id,Curve_degree,Curve_direction,Cant_to_add,Cant,orig_cant,Max_speed,Max_speed_freight,Curve_radius,Max_speed_calc,Notes
698,17,527,444581.846,446124.691,,,1542.845,2,0.85,1,,7,,,,6740,,
699,18,528,446124.691,447762.194,,,1637.503,2,0,,,,,,,,,
700,19,529,447762.194,448180.446,,,418.252,2,0.8,1,,7,,,,7161.25,,
701,20,530,448180.446,449328.167,,,1147.721,2,0,,,,,,,,,
702,21,531,449328.167,449988.886,,,660.719,2,0.6,1,,7,,,,9548.333333,,
703,22,532,449988.886,450959.975,,,971.089,2,0,,,,,,,,,
704,23,533,450959.975,451190.362,,,230.387,2,0.2,1,,7,,,,28645,,
705,24,534,451190.362,452036.268,,,845.906,2,0,,,,,,,,,
706,25,535,452036.268,452414.001,,,377.733,2,0.2,1,,7,,,,28645,,
707,26,536,452414.001,454647.91,,,2233.909,2,0,,,,,,,,,
708,27,537,454647.91,455550.231,,,902.321,2,1,1,,7,,,,5729,,
709,28,538,455550.231,456884.364,,,1334.133,2,0,,,,,,,,,
710,29,539,456884.364,457488.648,,,604.284,2,1,1,,7,,,,5729,,
711,30,540,457488.648,457737.778,,,249.13,2,0.3,1,,7,,,,19096.66667,,
712,31,541,457737.778,457762.802,,,25.024,2,0,,,,,,,,,
713,32,542,457762.802,458280.612,,,517.81,2,0.2,1,,7,,,,28645,,
714,33,543,458280.612,458433.941,,,153.329,2,0,,,,,,,,,
715,34,544,458433.941,460823.175,,,2389.234,2,0.8,1,,7,,,,7161.25,,
716,35,545,460823.175,461435.966,,,612.791,2,1,1,,7,,,,5729,,
717,36,546,461435.966,462520.852,,,1084.886,2,0,,,,,,,,,
718,37,547,462520.852,463251.602,,,730.75,2,1.6,1,,7,,,,3580.625,,
719,38,548,463251.602,463792.117,,,540.515,2,1,1,,7,,,,5729,,
720,39,549,463792.117,464093.585,,,301.468,2,0,,,,,,,,,
721,40,550,464093.585,465457.034,,,1363.449,2,0.5,1,,7,,,,11458,,
722,41,551,465457.034,466174.812,,,717.778,2,0.5,1,,7,,,,11458,,
723,42,552,466174.812,467663.78,,,1488.968,2,0,,,,,,,,,
724,43,553,467663.78,468231.279,,,567.499,2,1.8,1,,7,,,,3182.777778,,
725,44,554,468231.279,468757.417,,,526.138,2,3,1,,7,,,,1909.666667,,
726,45,555,468757.417,469049.254,,,291.837,2,0,,,,,,,,,
727,46,556,469049.254,469127.799,,,78.545,2,1,1,,7,,,,5729,,
728,47,557,469127.799,470001.104,,,873.305,2,3.65,1,,7,,,,1569.589041,,
729,48,558,470001.104,471552.83,,,1551.726,2,0,,,,,,,,,
730,49,559,471552.83,472715.519,,,1162.689,2,0.95,1,,7,,,,6030.526316,,
731,50,560,472715.519,473781.322,,,1065.803,2,0,,,,,,,,,
732,51,561,473781.322,474622.112,,,840.79,2,1.1,1,,7,,,,5208.181818,,
733,52,562,474622.112,475230.815,,,608.703,2,0,,,,,,,,,
734,53,563,475230.815,476018.679,,,787.864,2,0.6,1,,7,,,,9548.333333,,
735,54,564,476018.679,478035.262,,,2016.583,2,0,,,,,,,,,
736,55,565,478035.262,478758.203,,,722.941,2,1,1,,7,,,,5729,,
737,56,566,478758.203,479101.01,,,342.807,2,0,,,,,,,,,
738,57,567,479101.01,479997.488,,,896.478,2,0.6,1,,7,,,,9548.333333,,
739,58,568,479997.488,481190.07,,,1192.582,2,0,,,,,,,,,
740,59,569,481190.07,481445.345,,,255.275,2,0.5,1,,7,,,,11458,,
741,60,570,481445.345,483285.659,,,1840.314,2,0,,,,,,,,,
742,61,571,483285.659,483810.777,,,525.118,2,0.2,1,,7,,,,28645,,
743,62,572,483810.777,488535.582,,,4724.805,2,0,,,,,,,,,
744,63,573,488535.582,491106.16,,,2570.578,2,0.5,1,,7,,,,11458,,
745,64,574,491106.16,492799.641,,,1693.481,2,0,,,,,,,,,
746,65,575,492799.641,493053.325,,,253.684,2,0.6,1,,7,,,,9548.333333,,
747,66,576,493053.325,495874.308,,,2820.983,2,0,,,,,,,,,
748,67,577,495874.308,497336.18,,,1461.872,2,0.2,1,,7,,,,28645,,
749,68,578,497336.18,498140.118,,,803.938,2,0,,,,,,,,,
750,69,579,498140.118,499065.681,,,925.563,2,0.6,1,,7,,,,9548.333333,,
751,70,580,499065.681,500489.518,,,1423.837,2,0,,,,,,,,,
752,71,581,500489.518,501375.523,,,886.005,2,1,1,,7,,,,5729,,
753,72,582,501375.523,503543.286,,,2167.763,2,0,,,,,,,,,
754,73,583,503543.286,504181.047,,,637.761,2,1.1,1,,7,,,,5208.181818,,
755,74,584,504181.047,505483.853,,,1302.806,2,0,,,,,,,,,
756,75,585,505483.853,506661.991,,,1178.138,2,1.4,1,,7,,,,4092.142857,,
757,76,586,506661.991,507286.725,,,624.734,2,0,,,,,,,,,
758,77,587,507286.725,508502.859,,,1216.134,2,0.85,1,,7,,,,6740,,
